"id","name","description","contact_person","contact_email","contact_phone","user_id"
aa97ab92-ac63-11f0-856b-a254c1cab119,ОнкоТаргет,Таргетная терапия и онкодиагностика.,HR-менеджер,hr@oncotarget.ru,+7 (495) 123-45-91,
aa97ac46-ac63-11f0-856b-a254c1cab119,Хирана+,Медицинские устройства и цифровое здравоохранение.,HR-менеджер,hr@hirana-plus.ru,+7 (495) 123-45-92,
aa97ace6-ac63-11f0-856b-a254c1cab119,ТЗМОИ,Технологии защиты и обработки информации.,HR-менеджер,hr@tzmoi.ru,+7 (495) 123-45-93,
aa97ad86-ac63-11f0-856b-a254c1cab119,РАДА-ФАРМА,Фармацевтические разработки и производство.,HR-менеджер,hr@rada-pharma.ru,+7 (495) 123-45-94,
aa97ae26-ac63-11f0-856b-a254c1cab119,Мезоформула,Космецевтика и биоактивные формулы.,HR-менеджер,hr@mesoformula.ru,+7 (495) 123-45-95,
aa97aebc-ac63-11f0-856b-a254c1cab119,НТЦ ХайТэк,Научно-технический центр высоких технологий.,HR-менеджер,hr@ntc-hightech.ru,+7 (495) 123-45-96,
aa97af52-ac63-11f0-856b-a254c1cab119,ЛазерТек,Лазерные технологии и оборудование.,HR-менеджер,hr@lasertech.ru,+7 (495) 123-45-97,
aa97afe8-ac63-11f0-856b-a254c1cab119,АСЭЗ,Автоматизированные системы энергосбережения.,HR-менеджер,hr@asez.ru,+7 (495) 123-45-98,
aa97b088-ac63-11f0-856b-a254c1cab119,Промис,Промышленные информационные системы.,HR-менеджер,hr@promis.ru,+7 (495) 123-45-99,
aa97b128-ac63-11f0-856b-a254c1cab119,СиГнал,"Связь, телекоммуникации и IoT.",HR-менеджер,hr@signal-iot.ru,+7 (495) 123-46-00,
aa97b1c8-ac63-11f0-856b-a254c1cab119,Элтекс,Сетевое и телекоммуникационное оборудование.,HR-менеджер,hr@eltex.ru,+7 (495) 123-46-01,
aa97b25e-ac63-11f0-856b-a254c1cab119,Элтекс Энерго,Энергетические решения на базе цифровых технологий.,HR-менеджер,hr@eltex-energo.ru,+7 (495) 123-46-02,
aa97b2f4-ac63-11f0-856b-a254c1cab119,Промсвязь,Индустриальные решения в области связи.,HR-менеджер,hr@promsvyaz.ru,+7 (495) 123-46-03,
aa97b394-ac63-11f0-856b-a254c1cab119,Интеллектуальные технологии,AI и интеллектуальные системы управления.,HR-менеджер,hr@intech-ai.ru,+7 (495) 123-46-04,
aa97b42a-ac63-11f0-856b-a254c1cab119,Лаборатория Касперского,Кибербезопасность и защита данных.,HR-менеджер,hr@kaspersky.ru,+7 (495) 123-46-05,
aa97b65a-ac63-11f0-856b-a254c1cab119,Резидент ПЛК Технолоджи,Программируемые логические контроллеры.,HR-менеджер,hr@plc-tech.ru,+7 (495) 123-46-06,
aa97b70e-ac63-11f0-856b-a254c1cab119,Диаклон,Медицинские диагностические системы.,HR-менеджер,hr@diaclone.ru,+7 (495) 123-46-07,
aa97b7a4-ac63-11f0-856b-a254c1cab119,Висмо,Компьютерное зрение и видеоаналитика.,HR-менеджер,hr@vismo.ai,+7 (495) 123-46-08,
aa97b83a-ac63-11f0-856b-a254c1cab119,Центр Диагностика,Комплексные диагностические решения.,HR-менеджер,hr@center-diagnostica.ru,+7 (495) 123-46-09,
aa97b8d0-ac63-11f0-856b-a254c1cab119,Биомед,Биомедицинские технологии и оборудование.,HR-менеджер,hr@biomed.ru,+7 (495) 123-46-10,
aa97b966-ac63-11f0-856b-a254c1cab119,Институт микроэлектроники,Научные исследования в микроэлектронике.,HR-менеджер,hr@ime.ru,+7 (495) 123-46-11,
aa97b9fc-ac63-11f0-856b-a254c1cab119,Интеграл,Полупроводниковые компоненты и микросхемы.,HR-менеджер,hr@integral.ru,+7 (495) 123-46-12,
aa97ba9c-ac63-11f0-856b-a254c1cab119,СВЧ Компоненты,Высокочастотная электроника и СВЧ-устройства.,HR-менеджер,hr@microwave-comp.ru,+7 (495) 123-46-13,
aa97bb32-ac63-11f0-856b-a254c1cab119,Гравион,Квантовые сенсоры и гравиметрия.,HR-менеджер,hr@gravion.tech,+7 (495) 123-46-14,
aa97bbc8-ac63-11f0-856b-a254c1cab119,Оптэл,Оптоэлектронные системы и приборы.,HR-менеджер,hr@optel.ru,+7 (495) 123-46-15,
aa97bc68-ac63-11f0-856b-a254c1cab119,МикроОптика,Микрооптические компоненты и системы.,HR-менеджер,hr@microoptica.ru,+7 (495) 123-46-16,
aa97bd08-ac63-11f0-856b-a254c1cab119,Элтрон,Электронные компоненты и модули.,HR-менеджер,hr@eltron.ru,+7 (495) 123-46-17,
aa97bd9e-ac63-11f0-856b-a254c1cab119,Теслар,Энергетические и электротехнические решения.,HR-менеджер,hr@teslar.ru,+7 (495) 123-46-18,
aa97be34-ac63-11f0-856b-a254c1cab119,Электроника-М,Микроэлектроника и сборка.,HR-менеджер,hr@electronica-m.ru,+7 (495) 123-46-19,
aa97beca-ac63-11f0-856b-a254c1cab119,АйТиПро,ИТ-аутсорсинг и разработка ПО.,HR-менеджер,hr@itpro.ru,+7 (495) 123-46-20,
aa97bf60-ac63-11f0-856b-a254c1cab119,Эстетика,Медицинская эстетика и косметология.,HR-менеджер,hr@estetica-med.ru,+7 (495) 123-46-21,
aa97bff6-ac63-11f0-856b-a254c1cab119,ФармХим,Фармацевтическая химия и синтез.,HR-менеджер,hr@pharmchem.ru,+7 (495) 123-46-22,
aa97c08c-ac63-11f0-856b-a254c1cab119,БиоПром,Биотехнологическое производство.,HR-менеджер,hr@bioprom.ru,+7 (495) 123-46-23,
aa97c122-ac63-11f0-856b-a254c1cab119,Микротех,Микромеханика и прецизионные устройства.,HR-менеджер,hr@microtech.ru,+7 (495) 123-46-24,
aa97c1b8-ac63-11f0-856b-a254c1cab119,ИнтегралСвет,Светодиодные и осветительные технологии.,HR-менеджер,hr@integralsvet.ru,+7 (495) 123-46-25,
aa97c258-ac63-11f0-856b-a254c1cab119,АйСиДжи,Инженерные и консалтинговые услуги.,HR-менеджер,hr@icg.ru,+7 (495) 123-46-26,
aa97c2f8-ac63-11f0-856b-a254c1cab119,Логос,Программное обеспечение для моделирования.,HR-менеджер,hr@logos.ru,+7 (495) 123-46-27,
aa97c38e-ac63-11f0-856b-a254c1cab119,АСБЭЛ,Автоматизация и безопасность.,HR-менеджер,hr@asbel.ru,+7 (495) 123-46-28,
aa97c424-ac63-11f0-856b-a254c1cab119,ЭнергоИнновация,Энергоэффективные технологии.,HR-менеджер,hr@energoinnov.ru,+7 (495) 123-46-29,
aa97c4ba-ac63-11f0-856b-a254c1cab119,Инжиниринг МС,Машиностроительный инжиниринг.,HR-менеджер,hr@eng-ms.ru,+7 (495) 123-46-30,
aa97c58c-ac63-11f0-856b-a254c1cab119,Нейрософт,Нейросетевые алгоритмы и ПО.,HR-менеджер,hr@neurosoft.ru,+7 (495) 123-46-31,
aa97c62c-ac63-11f0-856b-a254c1cab119,Биосенсорика,Биосенсоры и лабораторная диагностика.,HR-менеджер,hr@biosensorica.ru,+7 (495) 123-46-32,
aa97c6c2-ac63-11f0-856b-a254c1cab119,РБК-Мед,Медицинские информационные системы.,HR-менеджер,hr@rbk-med.ru,+7 (495) 123-46-33,
aa97c758-ac63-11f0-856b-a254c1cab119,ХимИнжиниринг,Химическое машиностроение и процессы.,HR-менеджер,hr@chemeng.ru,+7 (495) 123-46-34,
aa97c7f8-ac63-11f0-856b-a254c1cab119,Квант,Квантовые технологии и вычисления.,HR-менеджер,hr@kvant.tech,+7 (495) 123-46-35,
aa97c88e-ac63-11f0-856b-a254c1cab119,СТМ,Специальная техника и материалы.,HR-менеджер,hr@stm.ru,+7 (495) 123-46-36,
aa97c924-ac63-11f0-856b-a254c1cab119,Динамика,Системы управления и динамика.,HR-менеджер,hr@dinamika.ru,+7 (495) 123-46-37,
aa97c9b0-ac63-11f0-856b-a254c1cab119,Вектор,Биофармацевтика и вакцины.,HR-менеджер,hr@vector.ru,+7 (495) 123-46-38,
aa984ce6-ac63-11f0-856b-a254c1cab119,Квантум,Квантовые сенсоры и коммуникации.,HR-менеджер,hr@quantum-tech.ru,+7 (495) 123-46-39,
aa984e08-ac63-11f0-856b-a254c1cab119,ИнноваМед,Инновационные медицинские технологии.,HR-менеджер,hr@innovamed.ru,+7 (495) 123-46-40,
aa984ebc-ac63-11f0-856b-a254c1cab119,ПромБиоТех,Промышленная биотехнология.,HR-менеджер,hr@prombiotech.ru,+7 (495) 123-46-41,
aa984f66-ac63-11f0-856b-a254c1cab119,МетПром,Металлургические технологии.,HR-менеджер,hr@metprom.ru,+7 (495) 123-46-42,
aa985010-ac63-11f0-856b-a254c1cab119,ХайТекМаш,Высокотехнологичное машиностроение.,HR-менеджер,hr@hightekmash.ru,+7 (495) 123-46-43,
aa9850b0-ac63-11f0-856b-a254c1cab119,ЛинТех,Линейные технологии и приводы.,HR-менеджер,hr@lintech.ru,+7 (495) 123-46-44,
aa985150-ac63-11f0-856b-a254c1cab119,СибЭлектро,Электротехническое оборудование.,HR-менеджер,hr@sibelectro.ru,+7 (495) 123-46-45,
aa9851e6-ac63-11f0-856b-a254c1cab119,Микромаш,Микроэлектромеханические системы (MEMS).,HR-менеджер,hr@micromash.ru,+7 (495) 123-46-46,
aa985272-ac63-11f0-856b-a254c1cab119,Фотоника,Фотонные технологии и оптика.,HR-менеджер,hr@photonica.ru,+7 (495) 123-46-47,
aa98534e-ac63-11f0-856b-a254c1cab119,КвантЛазер,Лазерные квантовые системы.,HR-менеджер,hr@kvantlaser.ru,+7 (495) 123-46-48,
aa985402-ac63-11f0-856b-a254c1cab119,МикроХим,Микрохимические системы и анализ.,HR-менеджер,hr@microhim.ru,+7 (495) 123-46-49,
aa985538-ac63-11f0-856b-a254c1cab119,ХимПроМед,Химические технологии в медицине.,HR-менеджер,hr@himpromed.ru,+7 (495) 123-46-50,
aa9855e2-ac63-11f0-856b-a254c1cab119,ФармаТех,Фармацевтическое оборудование.,HR-менеджер,hr@pharmatech.ru,+7 (495) 123-46-51,
aa985678-ac63-11f0-856b-a254c1cab119,ЛабМед,Лабораторная медицина и диагностика.,HR-менеджер,hr@labmed.ru,+7 (495) 123-46-52,
aa985718-ac63-11f0-856b-a254c1cab119,НаноСенс,Наносенсоры и нанодиагностика.,HR-менеджер,hr@nanosens.ru,+7 (495) 123-46-53,
aa9857b8-ac63-11f0-856b-a254c1cab119,НаноПро,Нанотехнологии и материалы.,HR-менеджер,hr@nanopro.ru,+7 (495) 123-46-54,
aa985862-ac63-11f0-856b-a254c1cab119,Фотоникс,Оптоэлектронные компоненты.,HR-менеджер,hr@photonix.ru,+7 (495) 123-46-55,
aa98590c-ac63-11f0-856b-a254c1cab119,МикроТехПро,Микротехнологии и производство.,HR-менеджер,hr@microtechpro.ru,+7 (495) 123-46-56,
aa9859ac-ac63-11f0-856b-a254c1cab119,МедЛаб,Медицинские лабораторные услуги.,HR-менеджер,hr@medlab.ru,+7 (495) 123-46-57,
aa985a4c-ac63-11f0-856b-a254c1cab119,НаноТех,Нанотехнологические разработки.,HR-менеджер,hr@nanotech.ru,+7 (495) 123-46-58,
aa985aec-ac63-11f0-856b-a254c1cab119,БиоТех,Биотехнологии и биоинженерия.,HR-менеджер,hr@biotech.ru,+7 (495) 123-46-59,
aa985b8c-ac63-11f0-856b-a254c1cab119,Резонанс,Радиочастотные и резонансные технологии.,HR-менеджер,hr@rezonans.ru,+7 (495) 123-46-60,
aa985c2c-ac63-11f0-856b-a254c1cab119,Энергия,Энергетические решения и системы.,HR-менеджер,hr@energia-tech.ru,+7 (495) 123-46-61,
aa985ccc-ac63-11f0-856b-a254c1cab119,НейроТек,Нейротехнологии и интерфейсы.,HR-менеджер,hr@neurotech.moscow,+7 (495) 123-46-62,
aa985d62-ac63-11f0-856b-a254c1cab119,МикроСвет,Микрооптика и освещение.,HR-менеджер,hr@microsvet.ru,+7 (495) 123-46-63,
aa985e0c-ac63-11f0-856b-a254c1cab119,Оптима,Оптимизация производственных процессов.,HR-менеджер,hr@optima-industry.ru,+7 (495) 123-46-64,
aa985ea2-ac63-11f0-856b-a254c1cab119,Эврика,Инновационные R&D-проекты.,HR-менеджер,hr@eureka-lab.ru,+7 (495) 123-46-65,
aa985f42-ac63-11f0-856b-a254c1cab119,Сигма,Инженерные и аналитические решения.,HR-менеджер,hr@sigma-engineering.ru,+7 (495) 123-46-66,
aa985fd8-ac63-11f0-856b-a254c1cab119,Атом,Ядерные и радиационные технологии.,HR-менеджер,hr@atom-tech.ru,+7 (495) 123-46-67,
aa986078-ac63-11f0-856b-a254c1cab119,ПрофиЛаб,Профессиональные лабораторные решения.,HR-менеджер,hr@profilab.ru,+7 (495) 123-46-68,
aa98610e-ac63-11f0-856b-a254c1cab119,Инновация,Управление инновационными проектами.,HR-менеджер,hr@innovatsiya.ru,+7 (495) 123-46-69,
aa9861ae-ac63-11f0-856b-a254c1cab119,ВекторПлюс,Расширенные биомедицинские решения.,HR-менеджер,hr@vectorplus.ru,+7 (495) 123-46-70,
aa986244-ac63-11f0-856b-a254c1cab119,КвантумЛаб,Лаборатория квантовых технологий.,HR-менеджер,hr@quantumlabs.ru,+7 (495) 123-46-71,
