"id","name","category","created_at"
175,Fluentd,technical,"2025-10-19 00:19:40"
176,Nginx,technical,"2025-10-19 00:19:40"
177,Apache,technical,"2025-10-19 00:19:40"
178,Traefik,technical,"2025-10-19 00:19:40"
179,Istio,technical,"2025-10-19 00:19:40"
180,Service Mesh,technical,"2025-10-19 00:19:40"
181,OAuth,technical,"2025-10-19 00:19:40"
182,SAML,technical,"2025-10-19 00:19:40"
183,LDAP,technical,"2025-10-19 00:19:40"
184,Active Directory,technical,"2025-10-19 00:19:40"
185,Zero Trust,security,"2025-10-19 00:19:40"
186,SIEM,security,"2025-10-19 00:19:40"
187,IDS/IPS,security,"2025-10-19 00:19:40"
188,Vulnerability Scanning,security,"2025-10-19 00:19:40"
189,Compliance (GDPR),security,"2025-10-19 00:19:40"
190,Compliance (ISO 27001),security,"2025-10-19 00:19:40"
191,Risk Assessment,security,"2025-10-19 00:19:40"
192,Incident Response,security,"2025-10-19 00:19:40"
193,Digital Forensics,security,"2025-10-19 00:19:40"
194,Cloud Security,security,"2025-10-19 00:19:40"
195,Container Security,security,"2025-10-19 00:19:40"
196,API Security,security,"2025-10-19 00:19:40"
197,Secure Coding,security,"2025-10-19 00:19:40"
198,Threat Modeling,security,"2025-10-19 00:19:40"
199,QA,technical,"2025-10-19 00:19:40"
200,Manual Testing,technical,"2025-10-19 00:19:40"
201,Automated Testing,technical,"2025-10-19 00:19:40"
202,Selenium,technical,"2025-10-19 00:19:40"
203,Cypress,technical,"2025-10-19 00:19:40"
204,Playwright,technical,"2025-10-19 00:19:40"
205,JUnit,technical,"2025-10-19 00:19:40"
206,PyTest,technical,"2025-10-19 00:19:40"
207,Load Testing,technical,"2025-10-19 00:19:40"
208,JMeter,technical,"2025-10-19 00:19:40"
209,Locust,technical,"2025-10-19 00:19:40"
210,Accessibility (a11y),technical,"2025-10-19 00:19:40"
211,SEO,technical,"2025-10-19 00:19:40"
212,UX Research,design,"2025-10-19 00:19:40"
213,UI Design,design,"2025-10-19 00:19:40"
214,User Testing,design,"2025-10-19 00:19:40"
215,Wireframing,design,"2025-10-19 00:19:40"
216,Prototyping,design,"2025-10-19 00:19:40"
217,Design Systems,design,"2025-10-19 00:19:40"
218,Responsive Design,design,"2025-10-19 00:19:40"
219,Cross-browser Compatibility,technical,"2025-10-19 00:19:40"
220,Web Performance,technical,"2025-10-19 00:19:40"
221,Lighthouse,tool,"2025-10-19 00:19:40"
222,Webpack,tool,"2025-10-19 00:19:40"
223,Vite,tool,"2025-10-19 00:19:40"
224,Rollup,tool,"2025-10-19 00:19:40"
225,Babel,tool,"2025-10-19 00:19:40"
226,ESLint,tool,"2025-10-19 00:19:40"
227,Prettier,tool,"2025-10-19 00:19:40"
228,Yarn,tool,"2025-10-19 00:19:40"
229,npm,tool,"2025-10-19 00:19:40"
230,pnpm,tool,"2025-10-19 00:19:40"
231,Rust (embedded),technical,"2025-10-19 00:19:40"
232,Zig,technical,"2025-10-19 00:19:40"
233,Assembly,technical,"2025-10-19 00:19:40"
234,Quantum Computing,emerging,"2025-10-19 00:19:40"
235,AR/VR Development,emerging,"2025-10-19 00:19:40"
236,Unity,tool,"2025-10-19 00:19:40"
237,Unreal Engine,tool,"2025-10-19 00:19:40"
238,Game Development,technical,"2025-10-19 00:19:40"
239,Audio Programming,technical,"2025-10-19 00:19:40"
240,"3D Modeling",design,"2025-10-19 00:19:40"
241,Blender,tool,"2025-10-19 00:19:40"
242,Maya,tool,"2025-10-19 00:19:40"
243,Digital Twin,emerging,"2025-10-19 00:19:40"
244,Edge Computing,technical,"2025-10-19 00:19:40"
245,Serverless,technical,"2025-10-19 00:19:40"
246,AWS Lambda,technical,"2025-10-19 00:19:40"
247,Azure Functions,technical,"2025-10-19 00:19:40"
248,Google Cloud Functions,technical,"2025-10-19 00:19:40"
249,Firebase,technical,"2025-10-19 00:19:40"
250,Supabase,technical,"2025-10-19 00:19:40"
251,Hasura,technical,"2025-10-19 00:19:40"
252,Prisma,tool,"2025-10-19 00:19:40"
253,TypeORM,tool,"2025-10-19 00:19:40"
254,Sequelize,tool,"2025-10-19 00:19:40"
255,SQLAlchemy,tool,"2025-10-19 00:19:40"
256,Alembic,tool,"2025-10-19 00:19:40"
257,Liquibase,tool,"2025-10-19 00:19:40"
258,Flyway,tool,"2025-10-19 00:19:40"
259,Database Migration,technical,"2025-10-19 00:19:40"
260,Indexing,technical,"2025-10-19 00:19:40"
261,Query Optimization,technical,"2025-10-19 00:19:40"
262,Replication,technical,"2025-10-19 00:19:40"
263,Sharding,technical,"2025-10-19 00:19:40"
264,Backup & Recovery,technical,"2025-10-19 00:19:40"
265,Disaster Recovery,technical,"2025-10-19 00:19:40"
266,High Availability,technical,"2025-10-19 00:19:40"
267,Load Balancing,technical,"2025-10-19 00:19:40"
268,CDN,technical,"2025-10-19 00:19:40"
269,WebSockets,technical,"2025-10-19 00:19:40"
270,gRPC,technical,"2025-10-19 00:19:40"
271,Protocol Buffers,technical,"2025-10-19 00:19:40"
272,Message Queues,technical,"2025-10-19 00:19:40"
273,Event-Driven Architecture,technical,"2025-10-19 00:19:40"
274,Domain-Driven Design,methodology,"2025-10-19 00:19:40"
275,Clean Architecture,methodology,"2025-10-19 00:19:40"
276,TDD,methodology,"2025-10-19 00:19:40"
343,CATIA,engineering,"2025-10-19 00:27:15"
344,Creo (Pro/ENGINEER),engineering,"2025-10-19 00:27:15"
345,Siemens NX,engineering,"2025-10-19 00:27:15"
346,Autodesk Inventor,engineering,"2025-10-19 00:27:15"
347,PTC Windchill,engineering,"2025-10-19 00:27:15"
348,Teamcenter,engineering,"2025-10-19 00:27:15"
349,"SAP ERP (модули PP, MM, QM)",erp,"2025-10-19 00:27:15"
350,"1С:ERP",erp,"2025-10-19 00:27:15"
351,Oracle ERP,erp,"2025-10-19 00:27:15"
352,MES-системы (Manufacturing Execution Systems),automation,"2025-10-19 00:27:15"
353,SCADA-системы,automation,"2025-10-19 00:27:15"
354,Siemens TIA Portal,automation,"2025-10-19 00:27:15"
355,Программирование ПЛК (Siemens S7),automation,"2025-10-19 00:27:15"
356,Программирование ПЛК (Allen-Bradley / Rockwell),automation,"2025-10-19 00:27:15"
357,Программирование ПЛК (Schneider Electric),automation,"2025-10-19 00:27:15"
358,Программирование ПЛК (Omron),automation,"2025-10-19 00:27:15"
359,WinCC,automation,"2025-10-19 00:27:15"
360,iFIX,automation,"2025-10-19 00:27:15"
361,Citect SCADA,automation,"2025-10-19 00:27:15"
362,RSLogix / Studio 5000,automation,"2025-10-19 00:27:15"
363,CODESYS,automation,"2025-10-19 00:27:15"
364,HMI-панели (настройка и программирование),automation,"2025-10-19 00:27:15"
365,Промышленная безопасность,safety,"2025-10-19 00:27:15"
366,Охрана труда (ОТ),safety,"2025-10-19 00:27:15"
367,Пожарная безопасность,safety,"2025-10-19 00:27:15"
368,Экологическая безопасность,safety,"2025-10-19 00:27:15"
369,Системы менеджмента качества (ISO 9001),quality,"2025-10-19 00:27:15"
370,Системы экологического менеджмента (ISO 14001),quality,"2025-10-19 00:27:15"
371,Менеджмент промышленной безопасности (ISO 45001),safety,"2025-10-19 00:27:15"
372,Внутренний аудит качества,quality,"2025-10-19 00:27:15"
373,Статистический контроль процессов (SPC),quality,"2025-10-19 00:27:15"
374,Анализ причин дефектов (RCA),quality,"2025-10-19 00:27:15"
375,"5S",methodology,"2025-10-19 00:27:15"
376,Lean Manufacturing,methodology,"2025-10-19 00:27:15"
377,Kaizen,methodology,"2025-10-19 00:27:15"
378,TPM (Total Productive Maintenance),methodology,"2025-10-19 00:27:15"
379,Six Sigma (Green Belt / Black Belt),methodology,"2025-10-19 00:27:15"
380,Управление запасами (Just-in-Time),logistics,"2025-10-19 00:27:15"
381,Контроль качества продукции,quality,"2025-10-19 00:27:15"
382,"Неразрушающий контроль (НК): ультразвуковой, магнитопорошковый, капиллярный",technical,"2025-10-19 00:27:15"
383,Эксплуатация электрических подстанций,energy,"2025-10-19 00:27:15"
384,Релейная защита и автоматика,energy,"2025-10-19 00:27:15"
385,Обслуживание дизель-генераторов,energy,"2025-10-19 00:27:15"
386,Работа с системами АСУ ТП,automation,"2025-10-19 00:27:15"
387,Техническое обслуживание КИПиА,technical,"2025-10-19 00:27:15"
388,Обслуживание систем вентиляции и кондиционирования,technical,"2025-10-19 00:27:15"
389,Обслуживание котельных установок,energy,"2025-10-19 00:27:15"
390,Работа с системами водоподготовки,technical,"2025-10-19 00:27:15"
391,Обслуживание компрессорных станций,technical,"2025-10-19 00:27:15"
392,Энергоаудит,energy,"2025-10-19 00:27:15"
393,Энергосбережение на производстве,energy,"2025-10-19 00:27:15"
394,Управление складскими запасами,logistics,"2025-10-19 00:27:15"
395,"Работа с погрузочной техникой (погрузчики, штабелёры)",logistics,"2025-10-19 00:27:15"
396,Системы WMS (Warehouse Management System),logistics,"2025-10-19 00:27:15"
397,Управление внутренними транспортными потоками,logistics,"2025-10-19 00:27:15"
398,Упаковка и маркировка продукции,logistics,"2025-10-19 00:27:15"
399,Работа в условиях многозадачности,soft,"2025-10-19 00:27:15"
400,Соблюдение регламентов и инструкций,soft,"2025-10-19 00:27:15"
401,Дисциплинированность,soft,"2025-10-19 00:27:15"
402,Ответственность за результат,soft,"2025-10-19 00:27:15"
403,Готовность к работе вахтовым методом,soft,"2025-10-19 00:27:15"
404,Готовность к работе в ночную смену,soft,"2025-10-19 00:27:15"
405,Командная работа на производстве,soft,"2025-10-19 00:27:15"
406,Обучение персонала на рабочем месте,soft,"2025-10-19 00:27:15"
407,Работа на токарно-винторезных станках,technical,"2025-10-19 00:27:15"
408,Фрезерные работы,technical,"2025-10-19 00:27:15"
409,Шлифовальные работы,technical,"2025-10-19 00:27:15"
410,Слесарная обработка,technical,"2025-10-19 00:27:15"
411,Сборка механических узлов,technical,"2025-10-19 00:27:15"
412,Гидравлические испытания,technical,"2025-10-19 00:27:15"
413,Пневматические испытания,technical,"2025-10-19 00:27:15"
414,Балансировка роторов,technical,"2025-10-19 00:27:15"
415,Вибродиагностика оборудования,technical,"2025-10-19 00:27:15"
416,Термография оборудования,technical,"2025-10-19 00:27:15"
417,Работа с мостовыми кранами,technical,"2025-10-19 00:27:15"
418,Строповка грузов,technical,"2025-10-19 00:27:15"
419,Сертификация сварщиков (НАКС),certification,"2025-10-19 00:27:15"
420,Радиографический контроль,technical,"2025-10-19 00:27:15"
421,Визуальный и измерительный контроль (ВИК),technical,"2025-10-19 00:27:15"
422,Тепловизионный контроль,technical,"2025-10-19 00:27:15"
423,Обслуживание систем пневмотранспорта,technical,"2025-10-19 00:27:15"
424,Работа с системами пылеулавливания,technical,"2025-10-19 00:27:15"
425,Обслуживание холодильных установок,technical,"2025-10-19 00:27:15"
426,Работа с системами очистки сточных вод,technical,"2025-10-19 00:27:15"
427,Метрологическое обеспечение производства,quality,"2025-10-19 00:27:15"
428,Калибровка измерительных приборов,technical,"2025-10-19 00:27:15"
429,Работа с тахометрами и виброметрами,technical,"2025-10-19 00:27:15"
430,Техническое диагностирование оборудования,technical,"2025-10-19 00:27:15"
431,Планирование ТОиР (технического обслуживания и ремонта),technical,"2025-10-19 00:27:15"
